+--------------+-----------------+------------------+-------------------+-----------------------+------------------------+---------------+-------------------+-----------------+------------------+----------------------+-----------------------+--------------+------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------+
| indicator_id | indicator_name  | upward_days_five | gain_percent_five | flip_upward_days_five | flip_gain_percent_five | flip_day_five | flip_end_day_five | upward_days_ten | gain_percent_ten | flip_upward_days_ten | flip_gain_percent_ten | flip_day_ten | flip_end_day_ten | stock_ids                                                                                                                                                                                                                                                                               | last_updated_time |
+--------------+-----------------+------------------+-------------------+-----------------------+------------------------+---------------+-------------------+-----------------+------------------+----------------------+-----------------------+--------------+------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------+
| 270400       | 其他电子Ⅱ       |               -1 |              NULL |                     0 |                   NULL | NULL          | NULL              |               1 |             NULL |                    0 |                  NULL | NULL         | NULL             | sz300493,sz002729,sz300184,sz300736,sz002130,sz002161,sz300656,sz300991,sh688800,sz300131,sz001298,sh688093,sh688103,sz301031,sz301359,sh600353,sz002885,sz002782,sz300516,sz000062,sz000670,sz002388,sz002922,sz300650,sh603933,sz300475,sz301099,sz001287,sh688662,sz301328,sz002859, | NULL              |
+--------------+-----------------+------------------+-------------------+-----------------------+------------------------+---------------+-------------------+-----------------+------------------+----------------------+-----------------------+--------------+------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------+

 select * from bd_daily_price where stock_id = '750200' order by day desc limit 20;
+----------+------------+---------------+---------------+---------------+--------------+--------------+-------------+----------------+------------------+-----------------+--------------------+
| stock_id | day        | opening_price | closing_price | intraday_high | intraday_low | day_avg_five | day_avg_ten | day_avg_twenty | day_gain_of_five | day_gain_of_ten | day_gain_of_twenty |
+----------+------------+---------------+---------------+---------------+--------------+--------------+-------------+----------------+------------------+-----------------+--------------------+
| 750200   | 2025-01-03 |      1585.200 |      1554.880 |      1605.330 |     1552.740 |     1590.730 |    1596.400 |       1655.530 |             NULL |            NULL |               NULL |
| 750200   | 2025-01-02 |      1599.880 |      1583.400 |      1627.270 |     1574.760 |     1595.520 |    1605.220 |       1662.640 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-31 |      1619.630 |      1603.820 |      1634.170 |     1589.850 |     1596.040 |    1612.740 |       1668.900 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-30 |      1602.190 |      1605.160 |      1607.780 |     1581.130 |     1595.080 |    1618.370 |       1673.180 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-27 |      1582.030 |      1606.370 |      1608.830 |     1581.640 |     1594.280 |    1629.700 |       1676.930 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-26 |      1587.140 |      1578.830 |      1595.750 |     1576.830 |     1602.070 |    1640.790 |       1678.810 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-25 |      1598.740 |      1586.040 |      1602.200 |     1568.570 |     1614.930 |    1659.540 |       1681.400 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-24 |      1584.790 |      1599.010 |      1599.240 |     1582.480 |     1629.440 |    1677.640 |       1683.450 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-23 |      1646.540 |      1601.150 |      1648.100 |     1600.590 |     1641.670 |    1691.110 |       1685.020 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-20 |      1647.120 |      1645.310 |      1656.450 |     1640.420 |     1665.110 |    1705.820 |       1687.700 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-19 |      1649.680 |      1643.160 |      1649.680 |     1622.570 |     1679.500 |    1714.660 |       1686.600 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-18 |      1665.280 |      1658.550 |      1677.260 |     1649.180 |     1704.150 |    1720.040 |       1688.250 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-17 |      1716.250 |      1660.160 |      1720.040 |     1656.550 |     1725.850 |    1725.070 |       1689.940 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-16 |      1720.300 |      1718.380 |      1736.340 |     1711.250 |     1740.560 |    1727.990 |       1690.130 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-13 |      1756.200 |      1717.270 |      1756.360 |     1714.320 |     1746.530 |    1724.160 |       1686.520 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-12 |      1772.130 |      1766.400 |      1778.500 |     1754.730 |     1749.820 |    1716.830 |       1683.940 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-11 |      1727.550 |      1767.060 |      1767.060 |     1727.370 |     1735.940 |    1703.250 |       1679.440 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-10 |      1785.660 |      1733.690 |      1789.150 |     1733.690 |     1724.280 |    1689.260 |       1676.030 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-09 |      1729.730 |      1748.250 |      1764.320 |     1729.730 |     1715.430 |    1678.920 |       1674.230 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-06 |      1697.370 |      1733.680 |      1736.120 |     1694.750 |     1701.790 |    1669.590 |       1672.170 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-05 |      1696.900 |      1697.010 |      1704.650 |     1689.750 |     1683.850 |    1658.530 |       1670.800 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-04 |      1687.820 |      1708.790 |      1733.590 |     1680.050 |     1670.560 |    1656.460 |       1672.930 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-03 |      1682.600 |      1689.410 |      1690.980 |     1663.650 |     1654.230 |    1654.800 |       1673.790 |             NULL |            NULL |               NULL |
| 750200   | 2024-12-02 |      1648.300 |      1680.040 |      1680.080 |     1648.300 |     1642.410 |    1652.270 |       1672.910 |             NULL |            NULL |               NULL |
| 750200   | 2024-11-29 |      1631.900 |      1643.980 |      1652.930 |     1620.230 |     1637.390 |    1648.870 |       1670.770 |             NULL |            NULL |               NULL |
| 750200   | 2024-11-28 |      1623.530 |      1630.580 |      1639.650 |     1622.210 |     1633.220 |    1651.050 |       1668.790 |             NULL |            NULL |               NULL |
| 750200   | 2024-11-27 |      1625.990 |      1627.150 |      1627.760 |     1579.530 |     1642.360 |    1655.620 |       1667.470 |             NULL |            NULL |               NULL |
| 750200   | 2024-11-26 |      1650.320 |      1630.320 |      1650.320 |     1626.510 |     1655.370 |    1662.810 |       1665.240 |             NULL |            NULL |               NULL |
| 750200   | 2024-11-25 |      1620.860 |      1654.900 |      1665.590 |     1618.980 |     1662.130 |    1669.530 |       1663.430 |             NULL |            NULL |               NULL |
| 750200   | 2024-11-22 |      1679.750 |      1623.160 |      1696.750 |     1623.160 |     1660.360 |    1674.760 |       1662.930 |             NULL |            NULL |               NULL |
+----------+------------+---------------+---------------+---------------+--------------+--------------+-------------+----------------+------------------+-----------------+--------------------+

 update bd_indicator set indicator_name = '油服工程' where indicator_id = '750200';
