代码		    名称		
SZ000157	中联重科	
SZ000338	潍柴动力	
SZ000425	徐工机械	
SZ000538	云南白药	
SZ000568	泸州老窖	
SZ000596	古井贡酒	
SZ000858	五 粮 液	
SZ002304	洋河股份	
SZ002736	国信证券	
SH600000	浦发银行	
SH600015	华夏银行	
SH600018	上港集团	
SH600023	浙能电力	
SH600039	四川路桥	
SH600104	上汽集团	
SH600188	兖矿能源	
SH600309	万华化学	
SH600362	江西铜业	
SH600377	宁沪高速	
SH600415	小商品城	
SH600519	贵州茅台	
SH600585	海螺水泥	
SH600600	青岛啤酒	
SH600674	川投能源	
SH600741	华域汽车	
SH600809	山西汾酒	
SH600837	海通证券	
SH600919	江苏银行	
SH600926	杭州银行	
SH600958	东方证券	
SH601018	宁波港		
SH601066	中信建投	
SH601077	渝农商行	
SH601211	国泰君安	
SH601225	陕西煤业	
SH601229	上海银行	
SH601238	广汽集团	
SH601298	青岛港		
SH601377	兴业证券	
SH601601	中国太保	
SH601607	上海医药	
SH601688	华泰证券	
SH601825	沪农商行	
SH601838	成都银行	
SH601878	浙商证券	
SH601899	紫金矿业	
SH603369	今世缘		

